State/UT,Type,Taxi Apps,Taxi App Links,Hotel Apps,Hotel App Links,Emergency Apps,Emergency App Links,Tourism Apps,Tourism App Links,Food Apps,Food App Links,Famous Food 1,Famous Food 2,Famous Food 3,🛍 Famous Purchases,Special Feature 1,Special Feature 2,Special Feature 3
Karnataka,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Karnataka Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Karnataka Police App","Karnataka Tourism, Incredible India, Google Maps","https://karnatakatourism.org/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Karnataka Flavors","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Karnataka Flavors",Bisi Bele Bath,Mysore Pak,Ragi Mudde,"Mysore silk sarees, Sandalwood products, Rosewood crafts, Channapatna toys, Coffee beans, Udupi sarees, Bidriware",Hampi,Mysore Palace,Coorg Coffee Plantations
Kerala,State,"Ola, Uber, Kerala Taxi","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | Play Store Search: Kerala Taxi","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Kerala Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Kerala Police App","Kerala Tourism, Incredible India, Google Maps","https://www.keralatourism.org/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Kerala Sadhya","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Kerala Sadhya",Appam with Stew,Kerala Sadya,Puttu & Kadala Curry,"Spices (cardamom, pepper), Coir products, Kasavu sarees, Aranmula mirrors, Teak wood furniture, Ayurvedic oils, Banana chips",Backwaters of Alleppey,Munnar Tea Plantations,Kathakali Dance
Madhya Pradesh,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, MP Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: MP Police App","MP Tourism, Incredible India, Google Maps","https://www.mptourism.com/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, MP Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: MP Rasoi",Poha Jalebi,Bhutte ka Kees,Bafla,"Chanderi silk sarees, Maheshwari sarees, Gond paintings, Zari work, Stone sculptures, Dhokra crafts, Beadwork",Khajuraho Temples,Sanchi Stupa,Kanha National Park
Maharashtra,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, Maharashtra Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Maharashtra Police App","Maharashtra Tourism, Incredible India, Google Maps","https://www.maharashtratourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Mumbai Street Food","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Mumbai Street Food",Vada Pav,Misal Pav,Puran Poli,"Paithani sarees, Warli paintings, Kolhapuri chappals, Himroo shawls, Ajrakh prints, Narayan pet textiles, Pune leather goods",Ajanta-Ellora Caves,Gateway of India,Shirdi Temple
Manipur,State,"Rapido, Manipur Cab Service","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Manipur Cab Service","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Manipur Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Manipur Police App","Manipur Tourism, Incredible India, Google Maps","https://manipurtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Manipuri Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Manipuri Rasoi",Eromba,Chamthong,Singju,"Handwoven textiles, Kaun reed mats, Manipuri shawls, Tribal jewelry, Bamboo crafts, Traditional dolls, Pottery",Loktak Lake,Kangla Fort,Keibul Lamjao National Park
Meghalaya,State,"Rapido, Uber, Ola","https://play.google.com/store/apps/details?id=com.rapido.passenger | https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, Meghalaya Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Meghalaya Police App","Meghalaya Tourism, Incredible India, Google Maps","https://megtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Meghalaya Flavors","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Meghalaya Flavors",Jadoh,Tungrymbai,Nakham Bitchi,"Bamboo products, Cane furniture, Traditional shawls, Khasi textiles, Handwoven baskets, Local honey, Tribal accessories",Living Root Bridges,Shillong Peak,Cherrapunji Waterfalls
Mizoram,State,"Rapido, Mizoram Taxi Service","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Mizoram Taxi Service","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Mizoram Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Mizoram Police App","Mizoram Tourism, Incredible India, Google Maps","https://mizotourism.nic.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Mizo Cuisine","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Mizo Cuisine",Bai,Vawksa Rep,Arsa Buhchiar,"Bamboo crafts, Traditional textiles, Tribal jewelry, Handwoven bags, Cane products, Local handicrafts, Tribal costumes",Phawngpui Hills,Aizawl,Murlen National Park
Nagaland,State,"Rapido, Nagaland Taxi Service","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Nagaland Taxi Service","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Nagaland Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Nagaland Police App","Nagaland Tourism, Incredible India, Google Maps","https://tourism.nagaland.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Naga Cuisine","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Naga Cuisine",Smoked Pork,Axone,Galho,"Traditional shawls, Naga jewelry, Bamboo crafts, Tribal masks, Handwoven textiles, Woodcarvings, Pottery",Hornbill Festival,Kohima War Cemetery,Dzukou Valley
Odisha,State,"Uber, Rapido, Jugnoo","https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Jugnoo","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, Odisha Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Odisha Police App","Odisha Tourism, Incredible India, Google Maps","https://www.odishatourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Odisha Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Odisha Rasoi",Rasgulla,Dahi Bara Aloo Dum,Chhena Poda,"Pattachitra paintings, Ikat textiles, Sambalpuri sarees, Stone sculptures, Silver filigree, Palm leaf manuscripts, Appliqué work",Jagannath Puri Temple,Konark Sun Temple,Chilika Lake
Punjab,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, Punjab Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Punjab Police App","Punjab Tourism, Incredible India, Google Maps","https://punjabtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Punjabi Tandoor","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Punjabi Tandoor",Butter Chicken,Sarson da Saag & Makki di Roti,Amritsari Kulcha,"Phulkari embroidery, Punjabi juttis, Traditional suits, Woolen shawls, Sikh artifacts, Punjabi accessories, Handwoven fabrics",Golden Temple,Wagah Border Ceremony,Anandpur Sahib Festival
Rajasthan,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Rajasthan Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Rajasthan Police App","Rajasthan Tourism, Incredible India, Google Maps","https://www.rajasthantourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Rajasthani Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Rajasthani Rasoi",Dal Baati Churma,Ghewar,Ker Sangri,"Blue pottery, Bandhani textiles, Rajasthani puppets, Kundan jewelry, Miniature paintings, Leather mojaris, Marble inlay work",Jaipur Hawa Mahal,Thar Desert Camel Safari,Pushkar Fair
Sikkim,State,"Ola, Rapido, Sikkim Cab Service","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Sikkim Cab Service","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, Sikkim Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Sikkim Police App","Sikkim Tourism, Incredible India, Google Maps","https://www.sikkimtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Sikkim Food Guide","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Sikkim Food Guide",Momo,Thukpa,Phagshapa,"Thangka paintings, Handwoven carpets, Tibetan artifacts, Traditional masks, Yak wool products, Prayer flags, Bamboo crafts",Nathu La Pass,Rumtek Monastery,Kanchenjunga National Park
Tamil Nadu,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Tamil Nadu Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Tamil Nadu Police App","Tamil Nadu Tourism, Incredible India, Google Maps","https://www.tamilnadutourism.tn.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Tamil Nadu Foodie","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Tamil Nadu Foodie",Idli,Dosa,Chettinad Chicken Curry,"Kanchipuram silk sarees, Tanjore paintings, Bronze sculptures, Toda embroidery, Chettinad tiles, Temple jewelry, Cotton textiles",Meenakshi Amman Temple,Brihadeeswarar Temple,Marina Beach
Telangana,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, Telangana Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Telangana Police App","Telangana Tourism, Incredible India, Google Maps","https://telanganastateparks.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Hyderabadi Food Guide","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Hyderabadi Food Guide",Hyderabadi Biryani,Qubani ka Meetha,Mirchi ka Salan,"Pochampally ikat sarees, Bidriware, Nirmal paintings, Pearl jewelry, Lacquerware, Gadwal sarees, Handloom textiles",Charminar,Golconda Fort,Ramoji Film City
Tripura,State,"Rapido, Tripura Cab Service","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Tripura Cab Service","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, Tripura Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Tripura Police App","Tripura Tourism, Incredible India, Google Maps","https://tripuratourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Tripuri Cuisine","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Tripuri Cuisine",Mui Borok,Chakhwi,Wahan Mosdeng,"Bamboo crafts, Cane furniture, Traditional textiles, Tribal jewelry, Handwoven fabrics, Local handicrafts, Wooden artifacts",Ujjayanta Palace,Neermahal,Tripura Sundari Temple
Uttar Pradesh,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, UP Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: UP Police App","UP Tourism, Incredible India, Google Maps","https://www.uptourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Awadhi Kitchen","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Awadhi Kitchen",Tunday Kababi,Bedhai with Aloo Sabzi,Banarasi Paan,"Banarasi silk sarees, Chikankari embroidery, Lucknowi kurtas, Zari work, Brass artifacts, Carpet weaving, Wooden inlay work",Taj Mahal,Varanasi Ghats,Fatehpur Sikri
